WigleWifi-1.4,appRelease=2.25,model=SHIELD Tablet,release=7.0,device=shieldtablet,display=NRD90M.1928188_904.2811,board=unknown,brand=nvidia,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
0a:8d:db:6e:71:be,boaz1,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,11,-87,32.10391194,35.2094526,698.5195052,6,WIFI
ec:08:6b:38:0d:dd,boaz2,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,13,-84,32.10383385,35.20937813,698.6147,6,WIFI
0a:8d:cb:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,44,-88,32.16751664,34.80980334,51.98350036,6,WIFI
00:78:9e:fa:15:91,MOULY MAISON,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],27/10/2017 16:35,1,-78,32.16751664,34.80980334,51.98350036,6,WIFI
7c:b7:33:2e:76:73,Mouly,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],27/10/2017 16:35,11,-80,32.16751664,34.80980334,51.98350036,6,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][WPS][ESS][P2P],27/10/2017 16:35,6,-90,32.16751664,34.80980334,51.98350036,6,WIFI
50:a7:33:47:4f:a3,island-074FA0,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,6,-84,32.16751664,34.80980334,51.98350036,6,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,5,-94,32.16751664,34.80980334,51.98350036,6,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,5,-89,32.16751664,34.80980334,51.98350036,6,WIFI
c4:12:f5:80:24:0b,CEO-WiFi_2.4,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,1,-89,32.16751664,34.80980334,51.98350036,6,WIFI
30:b5:c2:bd:55:32,CArgentina,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],27/10/2017 16:35,2,-96,32.16751664,34.80980334,51.98350036,6,WIFI
0a:8d:db:65:89:a9,Ezbob_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],27/10/2017 16:35,1,-94,32.16751664,34.80980334,51.98350036,6,WIFI
06:8d:db:6e:71:6d,888Free,[ESS],27/10/2017 16:35,1,-93,32.16751664,34.80980334,51.98350036,6,WIFI
02:8d:db:6e:71:be,,[ESS],27/10/2017 16:35,11,-88,32.16751664,34.80980334,51.98350036,6,WIFI
02:8d:db:6e:71:c1,,[ESS],27/10/2017 16:35,11,-93,32.16751664,34.80980334,51.98350036,6,WIFI
64:27:37:77:d1:f3,HP-Print-f3-LaserJet 300,[ESS][P2P],27/10/2017 16:35,6,-93,32.16751664,34.80980334,51.98350036,6,WIFI
06:8d:cb:6e:71:be,888Free,[ESS],27/10/2017 16:35,44,-89,32.16751664,34.80980334,51.98350036,6,WIFI
fa:8f:ca:81:19:08,,[ESS],27/10/2017 16:35,48,-97,32.16751664,34.80980334,51.98350036,6,WIFI
78:e8:b6:69:2c:91,smartsell,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],27/10/2017 16:35,1,-82,32.16751664,34.80980334,51.98350036,6,WIFI
ec:08:6b:38:0d:dc,RS_GUEST_5G,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,48,-93,32.16751664,34.80980334,51.98350036,6,WIFI
02:8d:cb:6e:71:be,888Guest,[ESS],27/10/2017 16:35,44,-89,32.16751664,34.80980334,51.98350036,6,WIFI
06:8d:db:6e:71:c1,888Free,[ESS],27/10/2017 16:35,11,-93,32.16751664,34.80980334,51.98350036,6,WIFI
06:8d:db:6e:71:bf,888Free,[ESS],27/10/2017 16:35,1,-85,32.16764041,34.80991347,55.14163581,4,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,5,-89,32.16768379,34.80989915,51.45281133,3,WIFI
06:8d:db:6e:71:be,,[ESS],27/10/2017 16:35,11,-85,32.16768379,34.80989915,51.45281133,3,WIFI
02:8d:db:6e:71:6d,888Guest,[ESS],27/10/2017 16:35,1,-90,32.16768379,34.80989915,51.45281133,3,WIFI
00:f6:63:15:58:82,KaymeraGuest,[ESS],27/10/2017 16:35,1,-96,32.16768379,34.80989915,51.45281133,3,WIFI
06:8d:db:6e:71:6d,888Free,[ESS],27/10/2017 16:35,1,-88,32.16751493,34.80962117,46.34810983,3,WIFI
0a:8d:db:6e:71:c1,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,11,-89,32.16751493,34.80962117,46.34810983,3,WIFI
90:8d:78:51:52:fc,brieftrace,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,12,-93,32.16751493,34.80962117,46.34810983,3,WIFI
06:8d:db:6e:71:c1,888Free,[ESS],27/10/2017 16:35,11,-87,32.16751493,34.80962117,46.34810983,3,WIFI
60:e3:27:bf:a1:a5,BARON WIFI 2.4,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,11,-90,32.16725207,34.80924478,45.11899192,3,WIFI
0a:8d:db:6e:71:bf,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,1,-88,32.16690733,34.80885619,41.80062156,3,WIFI
0a:8d:db:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,1,-84,32.16690733,34.80885619,41.80062156,3,WIFI
0a:8d:cb:6e:71:be,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,44,-93,32.16690733,34.80885619,41.80062156,3,WIFI
